plant_name,category,difficulty_level,sunlight_min,sunlight_max,temp_min,temp_max,humidity_min,humidity_max,area_min,growth_days,locations,soils,seasons,care_instructions
অর্জুন,ভেষজ,hard,6,8,20,35,60,80,200,600,dhaka;chittagong;sylhet,loam;clay,monsoon,হৃদরোগের ওষুধ - বড় গাছ
নাগলিঙ্গম,ভেষজ,hard,5,7,18,32,65,85,150,400,chittagong;sylhet;khulna,loam;clay,monsoon,ঔষধি গাছ - আর্দ্র পরিবেশ
ইউক্যালিপটাস,ভেষজ,medium,7,9,15,35,45,65,100,300,dhaka;sylhet;rajshahi,sandy;loam,winter;summer,শ্বাসকষ্টের ওষুধ - দ্রুত বাড়ে
তুঁত,ফল,medium,6,8,18,32,55,70,60,180,dhaka;chittagong;rajshahi,loam;sandy,winter;summer,রেশম কীট পালনেও ব্যবহার
ডুমুর,ফল,easy,5,7,20,35,50,75,40,150,dhaka;chittagong;sylhet,sandy;loam,summer;monsoon,ছোট মিষ্টি ফল - সহজ চাষ
জলপাই,ফল,medium,6,8,18,30,45,65,50,200,dhaka;rajshahi;khulna,loam;sandy,winter,আচার তৈরিতে ব্যবহার
করমচা,ফল,easy,5,7,20,35,55,75,30,120,dhaka;chittagong;sylhet,sandy;loam,summer;monsoon,ছোট টক ফল - জ্যাম জেলি
লটকন,ফল,medium,5,7,22,32,65,80,80,200,chittagong;sylhet;khulna,loam;clay,summer;monsoon,দেশি ফল - মিষ্টি টক
সফেদা,ফল,medium,6,8,20,35,55,70,70,250,dhaka;chittagong;rajshahi,loam;sandy,summer,চিকু ফল - মিষ্টি স্বাদ
রাম্বুতান,ফল,hard,6,8,25,35,75,90,100,300,chittagong;sylhet,loam;clay,summer;monsoon,বিদেশি ফল - আর্দ্র আবহাওয়া
ড্রাগন ফল,ফল,medium,7,9,22,35,60,80,50,200,dhaka;chittagong;rajshahi,sandy;potting,summer,ক্যাকটাস পরিবার - কম পানি
প্যাশন ফল,ফল,medium,6,8,18,30,65,80,40,180,dhaka;sylhet;chittagong,loam;sandy,monsoon;winter,লতানো ফল - মাচা দরকার
স্ট্রবেরি,ফল,hard,4,6,8,18,70,85,15,90,sylhet;khulna,loam;potting,winter,ঠান্ডা পছন্দ - পাহাড়ি এলাকায় ভালো
আঙুর,ফল,hard,7,9,15,28,55,70,80,300,dhaka;rajshahi;khulna,sandy;loam,winter,মাচা দরকার - শুষ্ক আবহাওয়া
কিউই,ফল,hard,5,7,8,20,75,85,60,400,sylhet,loam;potting,winter,খুব ঠান্ডা লাগে - পাহাড়ি অঞ্চলে
চেরি,ফল,hard,6,8,10,22,65,75,40,200,sylhet;khulna,loam;sandy,winter,ঠান্ডা ফল - বাংলাদেশে কঠিন
আভোকাডো,ফল,medium,6,8,18,28,60,75,80,300,dhaka;chittagong;sylhet,loam;sandy,summer;monsoon,বিদেশি ফল - স্বাস্থ্যকর
পেস্তা বাদাম,বাদাম,hard,7,9,15,30,45,60,100,500,rajshahi;khulna,sandy;loam,winter,শুষ্ক আবহাওয়া - দামি বাদাম
কাজু বাদাম,বাদাম,hard,6,8,20,35,55,70,150,400,chittagong;sylhet;khulna,loam;sandy,summer,উষ্ণ আবহাওয়া - প্রক্রিয়াজাতকরণ দরকার
চীনাবাদাম,বাদাম,easy,6,8,22,35,50,70,20,120,dhaka;rajshahi;khulna,sandy;loam,summer;monsoon,মাটির নিচে ফল - সহজ চাষ
তিল,তেলবীজ,easy,6,8,20,35,45,65,15,90,dhaka;chittagong;rajshahi,sandy;loam,summer;winter,তেল উৎপাদন - খরা সহনশীল
সরিষা,তেলবীজ,easy,5,7,12,25,50,70,12,80,dhaka;rajshahi;khulna,sandy;loam,winter,সরিষার তেল - ঠান্ডায় ভালো
সূর্যমুখী,তেলবীজ,easy,7,9,18,32,45,65,25,100,dhaka;rajshahi;khulna,sandy;loam,winter;summer,বড় ফুল - তেল ও বীজ পাওয়া যায়
তিসি,তেলবীজ,medium,5,7,15,25,55,70,10,110,sylhet;rajshahi;khulna,loam;sandy,winter,ওমেগা ৩ ফ্যাটি অ্যাসিড
কালোজিরা,তেলবীজ,medium,5,7,15,30,50,65,8,120,dhaka;rajshahi;khulna,sandy;loam,winter,ভেষজ গুণসম্পন্ন - ডায়াবেটিস নিয়ন্ত্রণ
চিয়া সিড,বীজ,medium,6,8,18,25,60,75,10,80,dhaka;sylhet;chittagong,loam;potting,winter,সুপার ফুড - পুষ্টিগুণ বেশি
কুইনোয়া,শস্য,hard,5,7,10,20,55,70,20,120,sylhet;khulna,loam;sandy,winter,প্রোটিন সমৃদ্ধ - ঠান্ডা পছন্দ
বার্লি,শস্য,medium,5,7,8,22,55,70,30,120,sylhet;rajshahi;khulna,loam;sandy,winter,শীতকালীন শস্য - পুষ্টিকর
ওটস,শস্য,medium,4,6,5,18,60,75,25,100,sylhet;khulna,loam;sandy,winter,ব্রেকফাস্ট সিরিয়াল - ঠান্ডা লাগে
গম,শস্য,medium,5,7,10,25,50,70,40,120,rajshahi;khulna,loam;sandy,winter,প্রধান খাদ্য শস্য - শীতে চাষ
ধান,শস্য,hard,6,8,20,35,70,90,200,150,dhaka;chittagong;sylhet,clay,monsoon,প্রধান খাদ্য - অনেক পানি লাগে
ভুট্টা,শস্য,easy,7,9,18,32,55,75,50,100,dhaka;rajshahi;khulna,sandy;loam,summer;monsoon,দ্রুত বৃদ্ধি - উচ্চতা বেশি
মাশ কলাই,ডাল,easy,6,8,25,35,50,70,30,60,dhaka;rajshahi;khulna,loam;sandy,summer,ছোট ডাল - গরমে ভালো
মসুর,ডাল,medium,5,7,15,25,55,70,25,90,rajshahi;khulna,loam;sandy,winter,শীতকালীন ডাল - প্রোটিন
ছোলা,ডাল,medium,6,8,12,25,50,65,30,100,dhaka;rajshahi;khulna,loam;sandy,winter,কাবুলি চানা - ঠান্ডায় ভালো
মটর,ডাল,easy,5,7,10,22,60,75,20,80,dhaka;sylhet;rajshahi,loam;sandy,winter,সবুজ মটর - শীতের সবজি
সীম,ডাল,easy,6,8,18,30,55,75,40,90,dhaka;chittagong;sylhet,loam;sandy,winter;summer,লম্বা শীম - মাচা দরকার
শিমের বিচি,ডাল,medium,5,7,15,25,60,75,35,110,dhaka;rajshahi;khulna,loam;sandy,winter,শুকনো বিচি - সংরক্ষণ করা যায়
রাজমা,ডাল,medium,6,8,12,25,60,75,30,100,sylhet;rajshahi;khulna,loam;sandy,winter,কিডনি বিন - ঠান্ডা পছন্দ
বরবটি,সবজি,easy,6,8,20,35,55,75,25,70,dhaka;chittagong;rajshahi;khulna,sandy;loam,summer;monsoon,লম্বা সবজি - সহজ চাষ
ঢেঁড়স,সবজি,easy,6,8,22,35,50,70,20,65,dhaka;chittagong;rajshahi;khulna,sandy;loam,summer,ভিন্ডি - গরমে ভালো
চিচিংগা,সবজি,easy,5,7,20,32,60,80,30,80,dhaka;chittagong;sylhet,loam;sandy,summer;monsoon,সাপের মতো লম্বা - মাচা দরকার
ঝিংগা,সবজি,easy,5,7,20,32,60,80,25,75,dhaka;chittagong;sylhet;khulna,loam;sandy,summer;monsoon,রিজ গার্ড - পানি বেশি
করলা,সবজি,medium,6,8,22,35,55,75,30,80,dhaka;chittagong;rajshahi;khulna,sandy;loam,summer;monsoon,তিতা সবজি - ডায়াবেটিস নিয়ন্ত্রণ
পটল,সবজি,medium,5,7,20,32,65,80,40,90,dhaka;chittagong;sylhet,loam;clay,monsoon,আর্দ্র মাটি পছন্দ - মাচা দরকার
কাকরোল,সবজি,medium,5,7,18,30,60,80,35,100,dhaka;chittagong;sylhet,loam;sandy,monsoon,স্পাইনি গার্ড - কাঁটাযুক্ত
ধুন্দুল,সবজি,easy,6,8,20,32,55,75,50,85,dhaka;rajshahi;khulna,sandy;loam,summer;monsoon,অ্যাশ গার্ড - বড় ফল
মিষ্টিকুমড়া,সবজি,easy,6,8,18,32,55,75,60,100,dhaka;chittagong;rajshahi;khulna,sandy;loam,winter;summer,মিষ্টি স্বাদ - পুষ্টিকর
চালকুমড়া,সবজি,easy,5,7,20,35,60,80,80,110,dhaka;chittagong;sylhet,loam;sandy,monsoon,বড় কুমড়া - অনেক জায়গা
ওলকপি,সবজি,medium,4,6,15,25,65,80,25,90,dhaka;sylhet;chittagong,loam;clay,winter,নল খোল - আর্দ্র মাটি
কচুশাক,শাকসবজি,easy,4,6,20,35,70,90,15,50,dhaka;chittagong;sylhet,loam;clay,monsoon,পানিতে ভালো বাড়ে - পুষ্টিকর
হেলেঞ্চা,শাকসবজি,easy,4,6,18,32,65,85,12,45,dhaka;chittagong;sylhet,loam;clay,monsoon,জলজ উদ্ভিদ - আর্দ্র পরিবেশ
শুশনি,ভেষজ,easy,3,5,18,32,70,90,8,60,dhaka;chittagong;sylhet,loam;clay;potting,monsoon,ছায়ায় বাড়ে - ব্রাহ্মী শাক
ব্রাহ্মী,ভেষজ,easy,3,5,15,30,75,90,10,80,dhaka;sylhet;chittagong,loam;potting,monsoon,স্মৃতিশক্তি বাড়ায় - জলজ উদ্ভিদ
মানকচু,সবজি,medium,4,6,22,35,70,85,40,120,dhaka;chittagong;sylhet,loam;clay,monsoon,বড় পাতা - আর্দ্র মাটি
কচু,সবজি,easy,4,6,20,35,65,85,30,100,dhaka;chittagong;sylhet;khulna,clay;loam,monsoon,মূল ও পাতা দুটোই খাওয়া যায়
মুখি,সবজি,medium,5,7,22,32,60,80,35,110,dhaka;chittagong;rajshahi,loam;sandy,summer;monsoon,কন্দ জাতীয় সবজি
শালগম,সবজি,easy,4,6,8,18,60,75,15,60,sylhet;rajshahi;khulna,loam;sandy,winter,ঠান্ডার সবজি - মূল ও পাতা
বিট,সবজি,medium,5,7,10,20,65,75,20,80,sylhet;rajshahi;khulna,loam;sandy,winter,লাল রঙের মূল - রক্তের জন্য ভালো
মিষ্টি আলু,সবজি,easy,6,8,20,32,55,75,40,120,dhaka;chittagong;rajshahi;khulna,sandy;loam,summer;winter,লতানো - মিষ্টি স্বাদ
কাসাভা,সবজি,medium,6,8,22,35,60,80,60,180,chittagong;sylhet;khulna,sandy;loam,summer;monsoon,ট্যাপিওকা - প্রধান খাদ্য
তেলাকুচা,সবজি,easy,4,6,18,30,65,80,20,70,dhaka;chittagong;sylhet,loam;sandy,monsoon,বর্ষার সবজি - সহজ চাষ
লাফা,সবজি,easy,5,7,20,32,60,80,30,75,dhaka;chittagong;sylhet,loam;sandy,summer;monsoon,লুফা স্পঞ্জ - গোসলের জন্য ব্যবহার
