plant_name,category,difficulty_level,growth_days,sunlight_min,sunlight_max,temp_min,temp_max,humidity_min,humidity_max,area_min,soils,seasons,locations,care_instructions
Yardlong Bean,Vegetable,Easy,85,6,10,22,35,55,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing supports; pick frequently.
Yardlong Bean Hybrid,Vegetable,Easy,68,5,10,20,35,60,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing supports; pick frequently.
Yardlong Bean Prolific,Vegetable,Easy,53,6,9,23,36,55,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing supports; pick frequently.
Yardlong Bean Plus,Vegetable,Easy,81,6,11,22,35,60,85,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing supports; pick frequently.
French Bean,Vegetable,Easy,60,5,9,18,30,50,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
French Bean Late,Vegetable,Easy,55,4,9,16,31,55,85,6,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
French Bean Compact,Vegetable,Easy,51,4,8,16,30,50,85,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
French Bean Prolific,Vegetable,Easy,52,4,9,16,32,55,80,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
French Bean Giant,Vegetable,Easy,58,6,10,18,32,55,85,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
French Bean Giant,Vegetable,Easy,52,5,10,16,30,50,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Keep moist; avoid root rot.
Broad Bean,Vegetable,Medium,73,5,8,15,28,45,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Broad Bean Heirloom,Vegetable,Medium,90,5,9,16,28,45,80,12,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Broad Bean Prime,Vegetable,Medium,92,4,9,16,29,45,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Broad Bean F1,Vegetable,Medium,79,6,9,15,29,50,75,12,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Broad Bean Heirloom,Vegetable,Medium,73,6,7,13,30,50,80,12,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Broad Bean Gold,Vegetable,Medium,85,4,9,13,28,45,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; wind protection.
Pea,Vegetable,Easy,60,4,8,15,26,50,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; avoid heat stress.
Pea Select,Vegetable,Easy,66,3,7,13,27,50,80,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; avoid heat stress.
Pea Heirloom,Vegetable,Easy,50,5,8,13,26,55,80,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; avoid heat stress.
Pea Select,Vegetable,Easy,55,4,7,15,27,50,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; avoid heat stress.
Pea Mini,Vegetable,Easy,73,4,8,16,26,50,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; avoid heat stress.
Radish,Vegetable,Easy,43,3,6,15,28,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Plus,Vegetable,Easy,38,3,7,15,28,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Prolific,Vegetable,Easy,37,3,6,15,28,45,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Compact,Vegetable,Easy,47,3,7,15,30,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Select,Vegetable,Easy,25,2,6,16,30,50,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Select,Vegetable,Easy,25,4,6,13,28,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Radish Late,Vegetable,Easy,28,3,5,13,30,50,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Loose soil; thin seedlings early.
Carrot,Vegetable,Medium,81,3,6,15,26,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Deep loose soil; steady moisture.
Carrot Local,Vegetable,Medium,106,2,6,13,26,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Deep loose soil; steady moisture.
Carrot Hybrid,Vegetable,Medium,94,3,6,16,28,50,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Deep loose soil; steady moisture.
Carrot Compact,Vegetable,Medium,63,3,7,16,28,45,75,8,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Deep loose soil; steady moisture.
Carrot Select,Vegetable,Medium,89,3,7,15,28,45,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Deep loose soil; steady moisture.
Beetroot,Vegetable,Easy,71,3,6,15,28,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Mulch; thin to proper spacing.
Beetroot Giant,Vegetable,Easy,47,3,6,13,28,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Mulch; thin to proper spacing.
Beetroot Patio,Vegetable,Easy,78,3,7,16,28,50,75,8,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Mulch; thin to proper spacing.
Beetroot Nano,Vegetable,Easy,76,3,7,13,28,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Mulch; thin to proper spacing.
Turnip,Vegetable,Easy,57,3,6,15,26,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip Select,Vegetable,Easy,59,4,6,16,28,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip Early,Vegetable,Easy,56,3,5,15,28,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip Plus,Vegetable,Easy,54,3,7,13,28,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip Compact,Vegetable,Easy,41,3,6,16,28,45,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip Late,Vegetable,Easy,53,3,6,15,27,50,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Turnip F1,Vegetable,Easy,76,3,6,16,26,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Fast-growing; keep moist.
Potato,Vegetable,Medium,80,5,8,15,26,50,80,15,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Hill soil as plants grow.
Potato Compact,Vegetable,Medium,97,4,8,16,26,55,80,13,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Hill soil as plants grow.
Potato F1,Vegetable,Medium,98,4,8,13,28,55,85,17,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Hill soil as plants grow.
Potato F1,Vegetable,Medium,98,4,9,13,26,55,80,13,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Hill soil as plants grow.
Sweet Potato,Vegetable,Easy,109,6,10,22,35,55,85,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato Mini,Vegetable,Easy,105,5,11,20,36,55,85,17,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato Late,Vegetable,Easy,102,7,10,22,35,60,90,17,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato Compact,Vegetable,Easy,97,6,11,22,37,55,90,17,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato Prolific,Vegetable,Easy,102,6,10,20,36,60,90,17,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato Mini,Vegetable,Easy,110,5,11,20,35,60,85,13,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Sweet Potato F1,Vegetable,Easy,94,6,10,22,36,60,90,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warm soil; harvest before frost.
Onion (Green),Vegetable,Easy,60,4,8,15,28,45,75,6,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Shallow roots; frequent light water.
Onion (Green) Prolific,Vegetable,Easy,78,4,7,13,30,50,80,6,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Shallow roots; frequent light water.
Onion (Green) Gold,Vegetable,Easy,83,4,9,16,28,50,75,8,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Shallow roots; frequent light water.
Onion (Green) Hybrid,Vegetable,Easy,64,5,9,16,30,45,80,4,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Shallow roots; frequent light water.
Onion (Green) Heirloom,Vegetable,Easy,79,4,8,16,29,50,75,8,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Shallow roots; frequent light water.
Garlic,Vegetable,Medium,121,4,7,12,24,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Plant cloves; keep weed-free.
Garlic Local,Vegetable,Medium,113,4,7,10,24,50,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Plant cloves; keep weed-free.
Garlic Local,Vegetable,Medium,102,3,8,10,24,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Plant cloves; keep weed-free.
Garlic Prolific,Vegetable,Medium,108,4,8,10,24,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Plant cloves; keep weed-free.
Ginger,Vegetable,Medium,115,3,6,20,32,60,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Ginger Patio,Vegetable,Medium,133,3,6,21,33,60,90,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Ginger Prime,Vegetable,Medium,122,4,7,21,33,65,90,14,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Ginger Prime,Vegetable,Medium,116,4,5,21,33,60,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Ginger Gold,Vegetable,Medium,113,4,6,20,32,60,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Ginger Select,Vegetable,Medium,110,2,5,18,34,60,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Indirect sun; keep soil moist.
Turmeric,Vegetable,Medium,131,3,6,20,34,60,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Turmeric F1,Vegetable,Medium,114,2,5,18,34,60,85,14,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Turmeric Early,Vegetable,Medium,132,2,5,20,35,65,90,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Turmeric Giant,Vegetable,Medium,121,3,6,18,36,65,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Turmeric Hybrid,Vegetable,Medium,113,4,6,20,35,60,90,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Turmeric Mini,Vegetable,Medium,141,4,7,20,34,65,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Filtered light; regular water.
Spinach,Vegetable,Easy,36,3,6,15,28,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade ok; quick harvest.
Spinach Nano,Vegetable,Easy,38,2,6,16,29,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade ok; quick harvest.
Spinach Giant,Vegetable,Easy,35,3,7,15,29,50,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade ok; quick harvest.
Spinach Late,Vegetable,Easy,28,2,5,16,29,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade ok; quick harvest.
Amaranth (Red),Vegetable,Easy,38,4,7,20,32,55,85,4,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; frequent picking.
Amaranth (Red) Heirloom,Vegetable,Easy,49,5,7,18,32,55,85,6,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; frequent picking.
Amaranth (Red) Prolific,Vegetable,Easy,51,5,6,21,32,60,90,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; frequent picking.
Amaranth (Red) Plus,Vegetable,Easy,49,5,8,18,32,55,85,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; frequent picking.
Amaranth (Red) Hybrid,Vegetable,Easy,36,4,7,18,32,55,90,6,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; frequent picking.
Mustard Greens,Vegetable,Easy,55,3,6,15,26,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Mustard Greens Prolific,Vegetable,Easy,45,3,5,13,26,50,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Mustard Greens Local,Vegetable,Easy,61,3,5,16,28,45,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Mustard Greens Plus,Vegetable,Easy,44,3,7,13,26,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Mustard Greens Select,Vegetable,Easy,42,4,5,15,28,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Mustard Greens Prime,Vegetable,Easy,36,2,7,16,28,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Tender leaves; bolt in heat.
Kale,Vegetable,Medium,70,4,7,12,24,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; steady moisture.
Kale Prolific,Vegetable,Medium,56,3,6,10,24,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; steady moisture.
Kale Heirloom,Vegetable,Medium,51,3,6,10,26,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; steady moisture.
Kale Patio,Vegetable,Medium,70,5,8,10,25,45,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; steady moisture.
Kale Prime,Vegetable,Medium,74,3,7,10,26,50,80,8,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; steady moisture.
